effDate,consTickerSymbol,weight
2017-04-28,000001,0.806
2017-04-28,600340,0.338
2017-04-28,600271,0.235
2017-04-28,600196,0.31
2017-04-28,600153,0.216
2017-04-28,000793,0.231
2017-04-28,601901,0.363
2017-04-28,601021,0.082
2017-04-28,603000,0.086
2017-04-28,002466,0.3
2017-04-28,600111,0.259
2017-04-28,600085,0.178
2017-04-28,600737,0.107
2017-04-28,600705,0.29
2017-04-28,600685,0.112
2017-04-28,000039,0.128
2017-04-28,002129,0.114
2017-04-28,600383,0.271
2017-04-28,601788,0.301
2017-04-28,002008,0.262
2017-04-28,002236,0.279
2017-04-28,002195,0.101
2017-04-28,000425,0.165
2017-04-28,600021,0.116
2017-04-28,300182,0.103
2017-04-28,600000,1.374
2017-04-28,002470,0.121
2017-04-28,300124,0.236
2017-04-28,300015,0.138
2017-04-28,600999,0.381
2017-04-28,600519,2.17
2017-04-28,600816,0.218
2017-04-28,600038,0.117
2017-04-28,600583,0.16
2017-04-28,600606,0.189
2017-04-28,601633,0.159
2017-04-28,000709,0.224
2017-04-28,000876,0.178
2017-04-28,000977,0.12
2017-04-28,002568,0.037
2017-04-28,300146,0.082
2017-04-28,300085,0.056
2017-04-28,600754,0.045
2017-04-28,000625,0.312
2017-04-28,600036,2.061
2017-04-28,601866,0.129
2017-04-28,600570,0.201
2017-04-28,000718,0.084
2017-04-28,000002,1.387
2017-04-28,600352,0.226
2017-04-28,600276,0.789
2017-04-28,600208,0.174
2017-04-28,600157,0.189
2017-04-28,001979,0.474
2017-04-28,000156,0.097
2017-04-28,601985,0.378
2017-04-28,601555,0.262
2017-04-28,002714,0.101
2017-04-28,300070,0.426
2017-04-28,002146,0.16
2017-04-28,601600,0.333
2017-04-28,002739,0.259
2017-04-28,600115,0.202
2017-04-28,600089,0.384
2017-04-28,000917,0.147
2017-04-28,600061,0.17
2017-04-28,300144,0.122
2017-04-28,601989,0.675
2017-04-28,000503,0.247
2017-04-28,600959,0.168
2017-04-28,600718,0.185
2017-04-28,002475,0.24
2017-04-28,600688,0.151
2017-04-28,600660,0.33
2017-04-28,601727,0.276
2017-04-28,002252,0.21
2017-04-28,601398,1.1
2017-04-28,600048,0.7
