close,code,date,high,low,open,volume
6.702,000002,2010-12-31,8.226,6.432,6.767,7783978528
7.085,000002,2011-03-31,7.615,6.481,6.742,5817652112
6.977,000002,2011-06-30,7.566,6.284,6.987,2963713618
5.978,000002,2011-09-30,7.448,5.681,6.961,2931102254
6.168,000002,2011-12-30,6.837,5.697,5.97,2546997518
6.837,000002,2012-03-30,7.308,5.83,6.168,3826310552
7.357,000002,2012-06-29,7.836,6.763,6.787,3019566244
7.062,000002,2012-09-28,8.335,6.366,7.382,3433626090
8.477,000002,2012-12-31,8.595,6.76,7.011,3268835780
9.013,000002,2013-03-29,10.68,8.653,9.323,5187414100
8.385,000002,2013-06-28,10.734,7.133,9.072,4840538610
7.772,000002,2013-09-30,9.372,7.601,8.291,6551540100
6.835,000002,2013-12-31,8.214,6.563,7.755,4232899964
6.886,000002,2014-03-31,7.014,5.55,6.801,5910504896
7.426,000002,2014-06-30,7.858,6.376,6.878,4464148120
8.244,000002,2014-09-30,9.061,7.229,7.444,4840779936
12.482,000002,2014-12-31,12.482,7.849,8.567,10588483225
12.41,000002,2015-03-31,13.73,10.354,12.922,13885678626
13.039,000002,2015-06-30,14.593,11.494,12.33,22810357840
11.817,000002,2015-09-30,14.852,11.503,12.797,12828408865
22.677,000002,2015-12-31,22.677,12.095,12.299,6451664670
22.677,000002,2016-03-31,0.0,0.0,0.0,0
22.677,000002,2016-06-30,0.0,0.0,0.0,0
25.309,000002,2016-09-30,26.769,15.539,20.412,13034020815
19.874,000002,2016-12-30,28.046,19.439,24.177,4792119159
19.903,000002,2017-03-31,21.663,19.458,19.874,1872751630
24.148,000002,2017-06-30,25.609,17.717,19.951,2197016422
26.25,000002,2017-09-29,30.22,21.005,23.945,3349284539
1.497,000008,2010-03-31,1.524,1.076,1.34,71269444
1.134,000008,2010-06-30,1.714,1.084,1.492,68254716
1.513,000008,2010-09-30,1.532,1.044,1.124,57046756
1.374,000008,2010-12-31,1.616,1.286,1.515,52899424
1.353,000008,2011-03-31,1.521,1.31,1.368,36388832
1.422,000008,2011-06-30,1.535,1.227,1.352,48715443
1.196,000008,2011-09-30,1.531,1.183,1.422,40436845
0.8,000008,2011-12-30,1.332,0.751,1.205,36104335
1.077,000008,2012-03-30,1.19,0.702,0.807,36953790
1.312,000008,2012-06-29,1.388,0.947,1.023,51917673
1.263,000008,2012-09-28,1.372,0.994,1.304,27451716
1.232,000008,2012-12-31,1.349,1.091,1.261,14234412
1.696,000008,2013-03-29,1.804,1.185,1.226,39838270
1.888,000008,2013-06-28,2.432,1.416,1.717,277835024
2.207,000008,2013-09-30,2.423,1.699,1.879,283272481
2.067,000008,2013-12-31,2.749,2.044,2.182,145629589
2.182,000008,2014-03-31,2.407,1.798,2.067,82290233
1.929,000008,2014-06-30,2.526,1.867,2.179,53151517
3.709,000008,2014-09-30,3.812,2.122,2.122,86807369
5.073,000008,2014-12-31,6.109,3.615,3.684,281203422
8.947,000008,2015-03-31,8.947,4.892,5.075,146714508
8.947,000008,2015-06-30,0.0,0.0,0.0,0
8.288,000008,2015-09-30,11.588,5.924,9.843,734857145
11.763,000008,2015-12-31,14.12,8.398,8.548,2086349840
10.795,000008,2016-03-31,11.863,7.09,11.863,1151988804
10.874,000008,2016-06-30,12.472,9.486,10.745,907220687
9.676,000008,2016-09-30,10.944,8.987,10.385,718686394
9.307,000008,2016-12-30,11.713,8.997,10.645,1019807612
8.728,000008,2017-03-31,9.586,8.308,9.317,458968169
7.28,000008,2017-06-30,9.317,6.84,8.738,505850967
9.03,000008,2017-09-29,9.35,7.0,7.27,596228373
7.19,000402,2010-03-31,7.954,6.628,7.941,1671132948
5.433,000402,2010-06-30,7.608,5.1,7.209,1787866725
5.479,000402,2010-09-30,6.468,5.252,5.44,2181282450
5.358,000402,2010-12-31,6.314,5.228,5.479,2779809231
5.471,000402,2011-03-31,5.828,5.098,5.398,2047845019
6.055,000402,2011-06-30,6.419,5.463,5.503,1963532454
5.111,000402,2011-09-30,6.275,5.052,6.03,1044470794
5.069,000402,2011-12-30,5.588,4.868,5.102,897275374
